mrt_name,latitude,longitude
CHOA CHU KANG LRT STATION,1.38475541089131,103.74453769781
FAJAR LRT STATION,1.38457317668026,103.770887223018
SEGAR LRT STATION,1.38778508663361,103.769599685249
JELAPANG LRT STATION,1.38673926997961,103.76453408646
SENJA LRT STATION,1.38272547134453,103.76234425472
SOUTH VIEW LRT STATION,1.38029828742399,103.745291799824
KEAT HONG LRT STATION,1.3786032506373,103.749055668925
TECK WHYE LRT STATION,1.37668467920808,103.753712232337
PHOENIX LRT STATION,1.37861545104083,103.757995558346
BUKIT PANJANG LRT STATION,1.37792694616982,103.763102931112
PETIR LRT STATION,1.37777204259082,103.766645782497
PENDING LRT STATION,1.37613574334988,103.771261175571
BANGKIT LRT STATION,1.38002223010088,103.772647370452
DHOBY GHAUT MRT STATION,1.29891164362677,103.84629250696
MACPHERSON MRT STATION,1.32615024457361,103.889298600376
TAI SENG MRT STATION,1.33514150139202,103.888389300191
BARTLEY MRT STATION,1.34250117805245,103.880177899184
SERANGOON MRT STATION,1.35063361526525,103.872771660431
LORONG CHUAN MRT STATION,1.35153128621585,103.864812169514
BISHAN MRT STATION,1.35131580146658,103.84914026532
MARYMOUNT MRT STATION,1.348707263451,103.839423132332
CALDECOTT MRT STATION,1.33724561271722,103.840161782075
BUKIT BROWN MRT STATION,1.33372888295973,103.830689549849
BOTANIC GARDENS MRT STATION,1.32238699517166,103.815385463093
BRAS BASAH MRT STATION,1.29686168649656,103.850667371637
FARRER ROAD MRT STATION,1.31743915158967,103.807379214161
HOLLAND VILLAGE MRT STATION,1.31224029631595,103.796399122407
BUONA VISTA MRT STATION,1.30627534823257,103.790363200126
ONE-NORTH MRT STATION,1.29975987493555,103.78745750525
KENT RIDGE MRT STATION,1.29353349887123,103.784572738173
HAW PAR VILLA MRT STATION,1.28195688684898,103.781988990137
PASIR PANJANG MRT STATION,1.27621352233766,103.791350313288
LABRADOR PARK MRT STATION,1.27236838626952,103.803416232089
TELOK BLANGAH MRT STATION,1.27070647717762,103.809761611219
HARBOURFRONT MRT STATION,1.26538938374901,103.821530157095
ESPLANADE MRT STATION,1.2936577245386,103.855081226245
PROMENADE MRT STATION,1.29399798636232,103.860350000188
